  TidValueString;1;2;4;5;6;7;10;11;0;1;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;2;4;6;7;10;11;0;1;2;4;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;11;0;1;2;4;6;7;10;0;1;2;6;7;10;11;0;1;2;4;6;7;10;11
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  LostPackets;0;0;0;0;0;0;34;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;34;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;7;0;0;0;0;0;0;0;17;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;0;8,83629893386415E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,84253121306001E-07;0;0;0;0;0;1,80726611859342E-07;0;0;0;0;0;0;0;4,40028194936011E-07;0
RX Latency:
  AggrMinLatency;2142;2559;9013;10344;5012;7217;11347;10609;2583;2118;9094;5012;7225;11347;10609;2607;2142;2607;9150;4932;7274;11395;10633;2559;2102;2607;8901;4908;7249;11371;10633;2583;2150;2559;8925;4956;7049;11395;10729;2607;2583;8925;4956;7145;11395;10753;4507;3794;4507;6279;4451;8821;7578;4507;3778;4459;6255;2214;4539;8861;7578;4555;3802;4507;6303;2278;4483;8629;7626;6961;6087;6985;4074;4363;6392;5101;7033;6087;6961;4098;4483;2310;6416;5125;7009;6175;7009;4066;4483;2262;6536;5125;12141;10713;12116;4259;9013;6688;5181;9615;8356;9663;2094;6800;4571;4539;9615;8356;9591;6800;4571;4403;2703;9663;8500;9663;2094;6849;4596;4451;2727
  AggrAvgLatency;2748;2837;11266;10555;6111;8829;14216;11830;3152;3514;12033;6873;9597;15124;13482;3236;3584;3145;12108;6949;9678;15212;13630;3239;3581;3138;12097;6934;9660;15195;13611;3257;3604;3155;12111;6952;9675;15213;13613;3233;3156;12112;6969;9698;15232;13606;5380;5754;5268;8674;6271;11566;10452;5386;5757;5254;8663;3492;6263;11777;10478;5405;5806;5276;8810;3644;6417;11930;10512;8064;8480;7907;6008;6437;9318;7737;8083;8498;7910;6036;6454;3575;9316;7756;8097;8517;7916;6016;6471;3560;9294;7776;13529;14061;13314;6059;11855;9171;7829;10895;11339;10701;3302;9709;6447;6777;10846;11271;10626;9642;6360;6658;5046;10913;11395;10696;3435;9764;6500;6936;5182
  AggrMaxLatency;17032;15308;26164;10946;15853;19782;29476;19822;15861;26172;34984;27912;30839;37293;24488;18627;29227;17833;34984;27936;31071;37293;24561;18266;29203;17473;34984;27960;31071;37293;24512;18363;29203;17569;35032;27984;31119;37293;24512;18339;17545;35056;27912;31167;37341;24512;25026;26421;20431;32098;27824;34752;23695;25002;26397;20407;31905;24496;27776;34752;23695;25098;26469;20431;31953;24520;27800;34776;23719;31352;28970;31424;27543;31328;34744;21722;31352;29043;31424;31256;31328;24384;34744;21866;31352;29019;31424;31280;31352;24408;34744;21891;30205;36018;29267;23486;34070;31777;21899;31865;33228;32394;24232;41126;28962;29444;31793;25627;32394;34583;21001;27279;19180;31865;33252;32394;24280;41150;28794;29444;19204
  AggrLatencyRange;14890;12749;17151;602;10841;12565;18129;9213;13278;24054;25890;22900;23614;25946;13879;16020;27085;15226;25834;23004;23797;25898;13928;15707;27101;14866;26083;23052;23822;25922;13879;15780;27053;15010;26107;23028;24070;25898;13783;15732;14962;26131;22956;24022;25946;13759;20519;22627;15924;25819;23373;25931;16117;20495;22619;15948;25650;22282;23237;25891;16117;20543;22667;15924;25650;22242;23317;26147;16093;24391;22883;24439;23469;26965;28352;16621;24319;22956;24463;27158;26845;22074;28328;16741;24343;22844;24415;27214;26869;22146;28208;16766;18064;25305;17151;19227;25057;25089;16718;22250;24872;22731;22138;34326;24391;24905;22178;17271;22803;27783;16430;22876;16477;22202;24752;22731;22186;34301;24198;24993;16477
  CurrMinLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
