  TidValueString;2;4;5;11;0;2;4;11;0;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;0;2;11;0;2;4;11
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX Latency:
  AggrMinLatency;2559;8941;10393;10633;2583;2559;9166;10633;2583;9166;10633;2583;2583;9166;10681;2583;2583;9254;10705;2583;2607;9254;10705;4604;4579;6223;7650;4555;4579;6207;7650;4579;4604;6231;7674;4507;4507;6231;7674;7105;7129;4187;5101;7057;7129;4082;5101;7161;7137;4211;5229;7185;7161;4211;5229;9783;9759;2094;2679;9735;9783;2094;9735;9687;2679;9687;9807;2118;2727
  AggrAvgLatency;2872;11292;10743;11778;3242;3275;12116;13509;3169;12065;13360;3274;3287;12119;13481;3264;3294;12129;13502;3258;3290;12120;13487;5411;5430;8759;10298;5415;5427;8770;10301;5444;5444;8787;10330;5425;5406;8789;10328;8117;8039;6048;7613;8118;8043;6051;7606;8271;8163;6172;7734;8275;8164;6154;7724;11012;10887;3531;5157;11035;10911;3543;10966;10824;5124;11042;10927;3574;5212
  AggrMaxLatency;15452;26260;23382;15540;18820;18411;33717;27110;16029;33717;24512;18916;18483;33717;27134;18916;18483;33717;27134;18820;18411;33813;27134;21514;21057;35305;23165;21562;21153;35329;23262;21586;21177;35329;23286;21610;21177;35329;23286;24087;23679;32659;21674;24184;23775;32659;21770;24312;23903;32763;21899;24288;23879;32739;21802;27054;26621;30021;19277;27078;26645;18403;14883;14426;19253;26790;26381;30165;19325
  AggrLatencyRange;12893;17319;12989;4907;16237;15852;24551;16477;13446;24551;13879;16333;15900;24551;16453;16333;15900;24463;16429;16237;15804;24559;16429;16910;16478;29082;15515;17007;16574;29122;15612;17007;16573;29098;15612;17103;16670;29098;15612;16982;16550;28472;16573;17127;16646;28577;16669;17151;16766;28552;16670;17103;16718;28528;16573;17271;16862;27927;16598;17343;16862;16309;5148;4739;16574;17103;16574;28047;16598
  CurrMinLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrAvgLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrMaxLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
