  TidValueString;0;19;20;17;18;20;17;18;19;20;17;18;19;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20
  Description;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0
  AggrAvgLatency;2890;3340;2852;3170;2941;3656;3193;2954;5014;3679;3138;2880;4947;3188;2942;5039;3683;3198;2936;5042;3683;4697;4436;6572;5244;4683;4445;6561;5267;4714;4456;6588;5286;4687;4435;6562;5234;7336;7050;9220;7967;7334;7063;9218;7966;7411;7117;9292;8028;7406;7108;9289;8028
  AggrMaxLatency;15332;17232;20776;16174;16101;20792;16222;16053;31256;34254;4844;4700;21345;16270;16101;31256;33469;16270;16101;31304;33469;17922;17801;32787;35096;17946;17705;32763;35096;17946;17753;32835;35120;17898;17753;32763;35048;20760;20447;35481;37766;20760;20495;35505;38007;20784;20544;35601;37839;20784;20544;35553;37814
  AggrLatencyRange;12701;14673;18586;13615;13542;18602;13663;13470;28673;32040;2285;2141;18786;13711;13542;28673;31279;13711;13542;28721;31239;14072;13951;28913;31928;14120;13855;28937;31952;14072;13879;28937;31928;14048;13879;28913;31904;14433;14120;29105;32553;14433;14119;29129;32818;14433;14072;29225;32530;14408;14072;29105;32529
  CurrMinLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrAvgLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrMaxLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrLatencyRange;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
RX Jitter:
  AggrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  AggrAvgJitter;0;0;2;64;16;24;64;16;0;24;60;13;0;65;16;0;24;66;16;0;24;75;20;0;24;73;18;0;24;74;20;0;24;75;18;0;24;77;22;0;25;78;22;0;25;78;22;0;25;76;22;0;25
  AggrMaxJitter;12412;13542;17944;13422;13350;18329;13446;13350;27686;31430;2092;1996;18642;13518;13422;27686;30685;13518;13398;27734;30725;13759;13590;27758;30821;13807;13614;27566;30556;13759;13566;27806;30821;13783;13542;27638;30797;13903;13831;27758;30917;13927;13831;27806;30997;13903;13879;27782;30917;13927;13879;27758;30893
  AggrJitterRange;12412;13542;17944;13422;13350;18329;13446;13350;27686;31430;2092;1996;18642;13518;13422;27686;30685;13518;13398;27734;30725;13759;13590;27758;30821;13807;13614;27566;30556;13759;13566;27806;30821;13783;13542;27638;30797;13903;13831;27758;30917;13927;13831;27806;30997;13903;13879;27782;30917;13927;13879;27758;30893
  CurrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrAvgJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrMaxJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrJitterRange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
