  TidValueString;3;4;5;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;0;1;4
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0
TX Totals:
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX Latency:
  AggrMinLatency;10866;9511;11034;2559;2559;10938;9535;2583;2583;10938;9559;2559;2559;10962;9535;2559;2583;10914;9511;2583;2583;10914;9511;3874;3850;7298;6255;3826;3826;7274;6255;3850;3874;7322;6231;3850;3850;7298;6247;6303;6279;4844;4114;6303;6279;4820;4114;6351;6327;4916;4163;6351;6400;4892;4163;8853;8877;2415;2046;8805;8853;2415;2046;8877;8853;2439;8877;8877;2070
  AggrAvgLatency;12302;11917;11687;3183;2965;14145;12716;3212;2966;14158;12722;3201;2940;14150;12726;3211;2941;14169;12748;3207;2944;14166;12758;4731;4457;10317;8666;4709;4462;10308;8727;4739;4467;10314;8649;4717;4456;10305;8696;7364;7066;7663;6021;7357;7075;7656;6024;7437;7135;7752;6156;7439;7131;7730;6082;10145;9802;4832;3250;10140;9803;4844;3286;10093;9733;4788;10151;9809;3399
  AggrMaxLatency;26741;29724;24745;16342;16126;38119;44478;16366;16174;38143;44502;16318;16174;38143;44502;16342;16150;38167;44526;16414;16150;38167;44526;18258;18162;34816;40966;18210;18210;34792;40845;18234;18186;34840;40966;18210;18138;34792;40942;20688;20760;32122;38320;20688;20832;32074;38320;20784;20832;32194;38440;20760;20832;32242;38440;23791;23743;29861;33445;23791;23791;29861;33445;12149;12100;21297;23695;23959;20592
  AggrLatencyRange;15875;20213;13711;13783;13567;27181;34943;13783;13591;27205;34943;13759;13615;27181;34967;13783;13567;27253;35015;13831;13567;27253;35015;14384;14312;27518;34711;14384;14384;27518;34590;14384;14312;27518;34735;14360;14288;27494;34695;14385;14481;27278;34206;14385;14553;27254;34206;14433;14505;27278;34277;14409;14432;27350;34277;14938;14866;27446;31399;14986;14938;27446;31399;3272;3247;18858;14818;15082;18522
  CurrMinLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
