  TidValueString;3;4;5;0;1;4;0;1;3;4;0;1;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0
TX Totals:
  AggrMaxLatency;17040;20728;14971;16174;16174;20792;16222;16126;30438;33765;3954;3834;16366;16174;20808;16222;16174;20840;15059;14987;19557;15155;15011;19629;15059;15011;19654;15083;15011;19581;15107;14963;19645;15059;14915;19605;15131;14963;19670;15131;14987;19662;15107;15011;19702;15131;15083;19678;15111;15039;19634;15111;15063;19650
  AggrLatencyRange;14481;18538;12340;13615;13615;18602;13663;13567;27879;31575;1395;1275;13807;13615;18618;13663;13615;18610;13687;13615;18505;13759;13615;18553;13687;13639;18627;13663;13591;18529;13711;13567;18585;13687;13543;18578;13687;13519;18594;13687;13543;18546;13663;13567;18578;13663;13615;18578;13687;13615;18554;13663;13615;18546
  CurrMinLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrAvgLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrMaxLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrLatencyRange;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
RX Jitter:
  AggrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  AggrAvgJitter;0;15;0;117;94;232;116;95;0;236;109;75;118;96;241;120;93;242;116;84;233;116;89;234;117;88;234;116;83;233;116;89;233;119;84;233;121;82;233;120;83;227;118;87;235;118;93;235;120;83;232;117;95;237
  AggrMaxJitter;13422;17944;12267;13470;13398;18305;13446;13374;27806;30957;1274;1202;13494;13470;18225;13494;13470;18473;13494;13350;18305;13542;13374;18281;13542;13470;18305;13470;13446;18281;13566;13398;18217;13614;13326;18177;13614;13302;18225;13638;13350;18152;13470;13398;18217;13494;13446;18136;13590;13422;18225;13494;13518;18080
  AggrJitterRange;13422;17944;12267;13470;13398;18305;13446;13374;27806;30957;1274;1202;13494;13470;18225;13494;13470;18473;13494;13350;18305;13542;13374;18281;13542;13470;18305;13470;13446;18281;13566;13398;18217;13614;13326;18177;13614;13302;18225;13638;13350;18152;13470;13398;18217;13494;13446;18136;13590;13422;18225;13494;13518;18080
  CurrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrAvgJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrMaxJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrJitterRange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
